ID,name,sub_category,country_name,launched,deadline,goal,pledged,currency,outcome
1,Ragdolls,Webseries,US,"2013-04-25 00:00:00","2013-05-25 00:00:00",15000,20,USD,failed
2,"One To Ten",Shorts,GB,"2015-11-16 00:00:00","2015-12-16 00:00:00",223.68,413.81,GBP,successful
3,"Future Gun - A short film about kids and advanced hardware",Animation,US,"2013-08-28 00:00:00","2013-09-27 00:00:00",5000,1497,USD,failed
4,"Fourth Wave Apparel—Vintage Fashion for the Modern Feminist",Apparel,US,"2014-07-22 00:00:00","2014-08-21 00:00:00",6000,8795,USD,successful
5,"The Rich Lifestyle",Documentary,US,"2016-08-24 00:00:00","2016-09-28 00:00:00",2000000,2,USD,failed
6,"Perils Galore!",Illustration,US,"2012-09-25 00:00:00","2012-11-01 00:00:00",2500,230,USD,failed
7,"In a Dark Dark House - Directed by Larry Moss",Theater,US,"2014-07-01 00:00:00","2014-08-15 00:00:00",55000,9316,USD,failed
8,CHARLIEFOXTROTNY,Webseries,US,"2014-05-21 00:00:00","2014-06-20 00:00:00",6000,161,USD,failed
9,"Fat Englishmen - Beer and Sumo",Comedy,US,"2015-03-03 00:00:00","2015-04-02 00:00:00",50000,0,USD,failed
10,"bear elements old-fashioned shave and beard care for men",Crafts,US,"2016-04-14 00:00:00","2016-05-14 00:00:00",12000,306,USD,failed
11,"DigIndustrial Art","Digital Art",US,"2014-06-19 00:00:00","2014-07-09 00:00:00",30000,111,USD,failed
12,"Expanding Farm to service the local Food Bank",Farms,US,"2016-06-13 00:00:00","2016-07-13 00:00:00",2500,405,USD,failed
13,"Church Hive. Church hiring made easy!",Web,US,"2016-09-01 00:00:00","2016-10-01 00:00:00",16800,101,USD,failed
14,"The Visual Media Directory Project","Public Art",US,"2012-03-07 00:00:00","2012-05-06 00:00:00",10000,2,USD,failed
15,"Too Sweet - The Not So Serious Side to Diabetes",Nonfiction,US,"2014-01-16 00:00:00","2014-02-15 00:00:00",2500,2525,USD,successful
16,"“Baby Hungry” Short Film Finishing Funds",Shorts,US,"2010-10-27 00:00:00","2010-11-26 00:00:00",1500,1525,USD,successful
17,"Turn "solvents-forgive yr. blood" into 12 inches of vinyl!!",Music,US,"2011-04-20 00:00:00","2011-05-20 00:00:00",1000,1494,USD,successful
18,"Fishin' for Chickens",Shorts,US,"2011-11-14 00:00:00","2011-11-30 00:00:00",2695,3667.13,USD,successful
19,"ROAM RECORD FUND",Rock,US,"2010-09-29 00:00:00","2010-10-29 00:00:00",5000,5847,USD,successful
20,"William Charles and Dirt Road Trippers NEW EP",Rock,US,"2012-10-09 00:00:00","2012-12-08 00:00:00",800,425,USD,failed
21,"Vega - Six String Theory - Alternative Rap Album Production",Hip-Hop,US,"2014-04-14 00:00:00","2014-05-14 00:00:00",3500,1,USD,failed
22,"Life Planner","Product Design",GB,"2015-11-09 00:00:00","2015-12-08 00:00:00",10004.09,4453.34,GBP,failed
23,"Number Ten Pond - 2014 Calendar",Photography,US,"2013-07-26 00:00:00","2013-08-20 00:00:00",3800,1488,USD,failed
24,"Chosen Gospel single 'Make me a Believer'","World Music",GB,"2013-08-13 00:00:00","2013-09-03 00:00:00",701.02,20.25,GBP,failed
25,"OILOVE YOU",Food,US,"2014-09-17 00:00:00","2014-11-07 00:00:00",17000,20,USD,failed
26,"Up Against The Downturn",Documentary,US,"2011-06-22 00:00:00","2011-07-22 00:00:00",5600,1026,USD,failed
27,"Mosquito Wars",Documentary,US,"2012-06-13 00:00:00","2012-07-13 00:00:00",15000,1401,USD,failed
28,"Bev's First Studio EP! - The Noble House of Pancake",Pop,US,"2014-11-14 00:00:00","2014-12-14 00:00:00",12000,12545,USD,successful
29,"Clean Water For Africa","Narrative Film",US,"2014-08-12 00:00:00","2014-10-11 00:00:00",50,30,USD,failed
30,"Mercurial Theatre Presents: HP Lovecraft's "Call of Cthulhu"",Experimental,US,"2017-05-09 00:00:00","2017-06-08 00:00:00",5000,1651,USD,failed
31,"BLACKOUT: The Eradication Protocols","Comic Books",US,"2017-05-09 00:00:00","2017-06-18 00:00:00",5200,6419,USD,successful
32,"Men's Fashion, the next big thing.",Fashion,US,"2014-06-05 00:00:00","2014-07-05 00:00:00",800,0,USD,failed
33,"Jack Daniels Cake",Food,US,"2014-07-18 00:00:00","2014-08-17 00:00:00",3000,0,USD,failed
34,"See the time in every timezone on earth on one Orbi Clock",Design,US,"2014-02-19 00:00:00","2014-04-05 00:00:00",8900,281,USD,failed
35,"Moveable Movie Production Studios for Educators","Film & Video",DE,"2017-01-22 00:00:00","2017-02-22 00:00:00",10608.95,0,EUR,failed
36,"NASHVILLE RISES","Film & Video",US,"2011-01-27 00:00:00","2011-03-13 00:00:00",4000,4001,USD,successful
37,"Donald Trump Plush with Audio. Checklist on Back of Box.","Product Design",US,"2016-10-11 00:00:00","2016-11-08 00:00:00",35000,185,USD,failed
38,"Mind Magnet - Watch for teaching children to stay on task",Wearables,US,"2017-06-11 00:00:00","2017-07-11 00:00:00",25000,0,USD,canceled
39,"Cold War 2","Video Games",US,"2014-05-11 00:00:00","2014-06-10 00:00:00",2500,281,USD,failed
40,"Jersey Shoresical:A Frickin' Rock Opera",Theater,US,"2011-06-17 00:00:00","2011-07-17 00:00:00",8000,8086,USD,successful
41,"Fridge Feet","Product Design",US,"2013-12-07 00:00:00","2014-01-06 00:00:00",20000,1254,USD,failed
42,"Fat Boy's Nerd Emporium","Gaming Hardware",US,"2014-07-16 00:00:00","2014-08-15 00:00:00",5000,0,USD,failed
43,"Little Fears Nightmare Edition - Blessed are the Children","Tabletop Games",US,"2013-08-22 00:00:00","2013-09-21 00:00:00",1500,9071,USD,successful
44,"Lest We Forget","Comic Books",CA,"2016-05-12 00:00:00","2016-06-11 00:00:00",11627.01,82.16,CAD,failed
45,"1000 Haiku, 1000 Strangers",Poetry,US,"2010-11-20 00:00:00","2010-12-25 00:00:00",1500,5276.01,USD,successful
46,"Field Reflections: The Final Painting",Painting,US,"2012-09-12 00:00:00","2012-10-15 00:00:00",3000,4268,USD,successful
47,"The Kitchen: a space for participatory cooking & dining",Food,US,"2012-12-06 00:00:00","2013-01-15 00:00:00",40000,45026,USD,successful
48,"The Harriet Experiment",Documentary,US,"2012-01-18 00:00:00","2012-03-18 00:00:00",70000,7071,USD,failed
49,"The Modern Day Briefcase","Product Design",US,"2016-03-01 00:00:00","2016-04-16 00:00:00",40000,242014,USD,successful
50,"TOGA: The Holder | Upgrade | Keychain for EOS® Lip Balms","Product Design",US,"2016-10-05 00:00:00","2016-11-04 00:00:00",5000,912,USD,canceled
51,"Grain35: Beautiful 35mm Film Grain Scans For Your DSLR Video",Technology,US,"2012-03-21 00:00:00","2012-04-11 00:00:00",15000,26206,USD,successful
52,"FLIE Rings - Colorful Anodized Aluminum Rings for Life",Accessories,US,"2015-08-06 00:00:00","2015-09-05 00:00:00",2000,10604,USD,successful
53,""Friday Night Monkey Fights" the Mobile App!","Video Games",US,"2012-01-12 00:00:00","2012-02-11 00:00:00",30000,30,USD,failed
54,GIULIA,Shorts,US,"2012-04-05 00:00:00","2012-05-15 00:00:00",6000,6000,USD,successful
55,"Personalised full length novels for children","Children's Books",GB,"2017-05-16 00:00:00","2017-06-15 00:00:00",6384.55,40.86,GBP,failed
