ID,name,sub_category,country_name,launched,deadline,goal,pledged,currency,backers,outcome
9960,"Gloomhaven (Second Printing)","Tabletop Games",US,"2017-04-04 00:00:00","2017-05-02 00:00:00",100000,3999795.77,USD,40642,successful
7703,"Ghostbusters™: The Board Game","Tabletop Games",US,"2015-02-10 00:00:00","2015-03-12 00:00:00",250000,1546269.5,USD,8396,successful
5072,"Shadows of Brimstone","Tabletop Games",US,"2013-10-23 00:00:00","2013-11-25 00:00:00",30000,1341305.03,USD,4727,successful
2621,"Dropfleet Commander","Tabletop Games",GB,"2015-10-30 00:00:00","2015-12-04 00:00:00",60558.35,952616.12,GBP,3918,successful
4379,"Robot Turtles: The Board Game for Little Programmers","Tabletop Games",US,"2013-09-03 00:00:00","2013-09-28 00:00:00",25000,631230.58,USD,13765,successful
11485,"TerrainCrate - Plastic, affordable, fantasy terrain!","Tabletop Games",US,"2017-04-26 00:00:00","2017-05-15 00:00:00",75000,629460,USD,3725,successful
7422,"Xia: Embers of a Forsaken Star","Tabletop Games",US,"2016-05-31 00:00:00","2016-06-22 00:00:00",40000,459147.6,USD,6100,successful
5270,"Endangered Orphans of Condyle Cove","Tabletop Games",US,"2016-08-22 00:00:00","2016-10-06 00:00:00",4097,355970.82,USD,7305,successful
2129,"Xia: Legends of a Drift System","Tabletop Games",US,"2013-05-17 00:00:00","2013-06-22 00:00:00",100000,346772.24,USD,3293,successful
8725,"Paranoia RPG","Tabletop Games",GB,"2014-10-24 00:00:00","2014-12-03 00:00:00",47057.35,341192.92,GBP,4380,successful
13075,"One Night Ultimate Alien","Tabletop Games",US,"2016-08-29 00:00:00","2016-09-28 00:00:00",5000,320890,USD,3768,successful
14777,"Feudum: A nuanced game of hand & resource management","Tabletop Games",US,"2016-11-10 00:00:00","2016-12-16 00:00:00",49000,263852.4,USD,3028,successful
8733,"Miniature Holders & Grips for painting and sculpting","Tabletop Games",DE,"2016-09-02 00:00:00","2016-10-02 00:00:00",5569.98,253335.86,EUR,3638,successful
14508,"Through the Breach: A Malifaux Roleplaying Game","Tabletop Games",US,"2012-11-28 00:00:00","2013-01-11 00:00:00",30000,243945.43,USD,1546,successful
2611,"Zpocalypse: An Epic Zombie Survival Board Game","Tabletop Games",US,"2012-03-09 00:00:00","2012-04-23 00:00:00",15000,210237.42,USD,2045,successful
12978,"Apocalypse World 2nd Edition","Tabletop Games",US,"2016-02-01 00:00:00","2016-03-02 00:00:00",19750,149681,USD,4332,successful
11285,"DinoGenics: Dinosaur Park Management","Tabletop Games",US,"2017-10-03 00:00:00","2017-11-02 00:00:00",30000,144682,USD,2726,successful
3012,"Champions of Hara","Tabletop Games",US,"2017-08-29 00:00:00","2017-09-29 00:00:00",20000,143555,USD,1623,successful
